It took 15.920997619628906 seconds to calculate the Mandelbrot graph.
It took 0.20399999618530273 seconds to dump the image.
         2697341 function calls (2670085 primitive calls) in 17.469 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       92    0.001    0.000    0.010    0.000 __init__.py:1338(_preprocess_data)
    20414    0.005    0.000    0.010    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.010    0.010 font_manager.py:1010(json_load)
        1    0.000    0.000    0.010    0.010 py3k.py:12(<module>)
        1    0.000    0.000    0.010    0.010 __init__.py:274(load)
        1    0.000    0.000    0.009    0.009 __init__.py:32(__enter__)
       72    0.009    0.000    0.009    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
     2232    0.006    0.000    0.009    0.000 font_manager.py:1130(score_family)
        2    0.000    0.000    0.009    0.004 axis.py:934(set_clip_path)
    28444    0.007    0.000    0.009    0.000 inspect.py:2799(<genexpr>)
 3705/498    0.007    0.000    0.009    0.000 sre_parse.py:174(getwidth)
        1    0.000    0.000    0.009    0.009 mathtext.py:16(<module>)
        1    0.000    0.000    0.008    0.008 defmatrix.py:1(<module>)
      249    0.000    0.000    0.008    0.000 artist.py:116(<lambda>)
        1    0.000    0.000    0.008    0.008 cm.py:16(<module>)
      249    0.000    0.000    0.008    0.000 artist.py:1159(set)
        2    0.000    0.000    0.008    0.004 cm.py:389(to_rgba)
        4    0.000    0.000    0.008    0.002 __init__.py:299(loads)
     4000    0.004    0.000    0.008    0.000 artist.py:1448(aliased_name)
        4    0.000    0.000    0.008    0.002 decoder.py:332(decode)
        4    0.003    0.001    0.008    0.002 decoder.py:343(raw_decode)
        2    0.001    0.000    0.008    0.004 colors.py:589(__call__)
   105838    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.008    0.008 scale.py:13(<module>)
      108    0.001    0.000    0.008    0.000 lines.py:724(draw)
       24    0.000    0.000    0.008    0.000 _add_newdocs_scalars.py:55(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.008    0.008 Image.py:314(preinit)
        1    0.000    0.000    0.008    0.008 __init__.py:71(<module>)
        4    0.000    0.000    0.008    0.002 axis.py:1860(_get_tick_boxes_siblings)
        1    0.000    0.000    0.008    0.008 secrets.py:7(<module>)
      101    0.002    0.000    0.007    0.000 artist.py:139(<listcomp>)
      359    0.002    0.000    0.007    0.000 artist.py:1046(update)
       39    0.000    0.000    0.007    0.000 _add_newdocs_scalars.py:62(<genexpr>)
